Image,T1,T2,T3,T4,T5,T6 (Total Avg Time)
00047,0.0019941329956054688,0.003007650375366211,0.4896199703216553,0.0,0.14533424377441406,0.639955997467041
00048,0.003988742828369141,0.006000518798828125,0.47327494621276855,0.0,0.12200021743774414,0.60526442527771
00049,0.0029997825622558594,0.0030012130737304688,0.49199962615966797,0.0,0.136000394821167,0.6340010166168213
00050,0.004001617431640625,0.008999824523925781,0.5479691028594971,0.0,0.14100146293640137,0.7019720077514648
00051,0.0029973983764648438,0.005000591278076172,0.594383955001831,0.0,0.12097930908203125,0.7233612537384033
00052,0.0009756088256835938,0.003004789352416992,0.5409393310546875,0.0,0.12705564498901367,0.6719753742218018
00053,0.0010099411010742188,0.002989530563354492,0.513984203338623,0.0,0.1170341968536377,0.6350178718566895
00054,0.0009937286376953125,0.003991127014160156,0.5110740661621094,0.0009987354278564453,0.10803437232971191,0.6250920295715332
00055,0.0010042190551757812,0.0029942989349365234,0.48895764350891113,0.0,0.11601424217224121,0.6089704036712646
00056,0.00299072265625,0.0040264129638671875,0.4647657871246338,0.0,0.11197805404663086,0.5837609767913818
00057,0.002972841262817383,0.0050029754638671875,0.4649660587310791,0.0,0.13492345809936523,0.6078653335571289
00058,0.0019800662994384766,0.005008697509765625,0.465986967086792,0.0,0.1090092658996582,0.5819849967956543
00059,0.0020008087158203125,0.0030019283294677734,0.4980294704437256,0.0009999275207519531,0.11098098754882812,0.6150131225585938
00060,0.0019948482513427734,0.0019822120666503906,0.47241950035095215,0.0,0.1079719066619873,0.5843684673309326
00061,0.0009832382202148438,0.0029897689819335938,0.4764716625213623,0.0009996891021728516,0.10606575012207031,0.5875101089477539
00062,0.0009808540344238281,0.004015684127807617,0.4770021438598633,0.0,0.11801862716674805,0.6000173091888428
00063,0.003964662551879883,0.006005764007568359,0.45591187477111816,0.0,0.10603141784667969,0.5719137191772461
00064,0.002002239227294922,0.0039997100830078125,0.4700164794921875,0.0,0.10803890228271484,0.5840573310852051
00065,0.0009925365447998047,0.0029959678649902344,0.46869659423828125,0.0,0.10902523994445801,0.5817103385925293
