Image Index,T1 (Input Processing),T2 (Build Pyramids),T3 (Fuse Pyramids),T4 (Final Output),Total Time,
144,0.0077774,0.0015651,8.68E-05,0.0001703,0.0654179,0.0750175
145,0.0080249,0.0020844,7.37E-05,0.0001354,0.0658137,0.0761321
146,0.0083216,0.0024753,8.37E-05,0.0001574,0.0640414,0.0750794
147,0.0090232,0.0018592,8.21E-05,0.0001652,0.0708799,0.0820096
148,0.0077608,0.0027683,9.59E-05,0.0001915,0.0652189,0.0760354
149,0.0065269,0.0019488,8.82E-05,0.0001688,0.0340757,0.0428084
150,0.0045546,0.0025025,0.0001021,0.0001521,0.038951,0.0462623
151,0.0041158,0.0012595,0.000103,0.0001769,0.0334499,0.0391051
152,0.0046435,0.0021116,9.43E-05,0.0002107,0.0447638,0.0518239
153,0.0086758,0.0015817,7.52E-05,0.0001663,0.0714291,0.0819281
154,0.0071627,0.0017224,7.42E-05,0.0001435,0.0690189,0.0781217
155,0.0081431,0.0016304,7.87E-05,0.0001551,0.0612439,0.0712512
156,0.0076448,0.001899,7.79E-05,0.0001292,0.0622114,0.0719623
157,0.0079274,0.0016639,7.91E-05,0.000132,0.0625194,0.0723218
158,0.0069627,0.0013898,6.95E-05,0.0001496,0.0620896,0.0706612
159,0.0075174,0.0012114,6.45E-05,0.0001144,0.0682242,0.0771319
160,0.0076577,0.001588,9.43E-05,0.0001798,0.071159,0.0806788
161,0.0085688,0.0014322,6.36E-05,0.0001067,0.0825461,0.0927174
162,0.0069074,0.0012612,5.98E-05,0.0001046,0.0652568,0.0735898
163,0.0080864,0.0015507,7.15E-05,0.0001303,0.0688953,0.0787342
164,0.0070432,0.0012187,6.02E-05,0.0001051,0.0685896,0.0770168
165,0.0086127,0.0015839,7.57E-05,0.0001292,0.0687102,0.0791117
166,0.0079836,0.0020107,0.0001236,0.0002112,0.0606733,0.0710024
167,0.0088296,0.0015948,8.54E-05,0.0001403,0.0649213,0.0755714
168,0.007934,0.0014753,6.92E-05,0.0001268,0.0673602,0.0769655
169,0.0075458,0.0013919,6.19E-05,0.0001544,0.0654354,0.0745894
170,0.0077918,0.0015509,6.88E-05,0.0001775,0.0673061,0.0768951
171,0.0088711,0.0020862,6.60E-05,0.0001063,0.0691243,0.0802539
172,0.0075411,0.0015432,8.55E-05,0.0001976,0.0730824,0.0824498
173,0.0078139,0.0013552,6.55E-05,0.0001071,0.0656764,0.0750181
174,0.0072529,0.0014645,7.70E-05,0.0001168,0.063632,0.0725432
175,0.0018153,0.0015389,8.27E-05,0.0001338,0.0120276,0.0155983
176,0.0020094,0.0011971,6.30E-05,0.0001149,0.0102903,0.0136747
177,0.0020392,0.0017023,9.81E-05,0.0001557,0.012,0.0159953
178,0.0019061,0.0014501,7.70E-05,0.000153,0.0102501,0.0138363
179,0.0016969,0.0016695,8.29E-05,0.000228,0.0112307,0.014908
180,0.0079369,0.0014091,7.31E-05,0.0001628,0.0674168,0.0769987
181,0.007577,0.0012325,6.52E-05,0.0001051,0.0688646,0.0778444
182,0.0083021,0.0011499,5.96E-05,0.0001041,0.0668469,0.0764626
183,0.0075394,0.0020854,7.78E-05,0.0002114,0.058539,0.068453
184,0.0083485,0.0013737,6.42E-05,0.0001077,0.0727928,0.0826869
185,0.0076982,0.0018278,6.88E-05,0.0001847,0.0650003,0.0747798
186,0.0016288,0.0015582,7.90E-05,0.0001096,0.0078255,0.0112011
187,0.0017192,0.0011866,0.0001567,0.0001063,0.0083934,0.0115622
188,0.0014374,0.0013582,7.14E-05,0.0001266,0.0173292,0.0203228
189,0.0023786,0.0024921,0.0001727,0.0003017,0.011073,0.0164181
190,0.0136013,0.0019768,9.04E-05,0.0001607,0.0874282,0.1032574
191,0.0069997,0.0025076,7.35E-05,0.0001266,0.0648805,0.0745879
192,0.0088505,0.001811,6.83E-05,0.000125,0.0692112,0.080066
193,0.0071572,0.0021515,8.43E-05,0.000136,0.0746368,0.0841658
194,0.0079918,0.0012441,6.86E-05,0.0001042,0.0644292,0.0738379
195,0.0075745,0.0017555,0.0001025,0.0001152,0.0745866,0.0841343
196,0.0084159,0.0015901,7.21E-05,0.0001291,0.0623115,0.0725187
197,0.0070392,0.0013366,9.25E-05,0.0001065,0.0731516,0.0817264
198,0.0082052,0.0021983,7.99E-05,0.0001634,0.0709341,0.0815809
199,0.0073546,0.0011992,8.31E-05,0.0001119,0.0647781,0.0735269
200,0.0085289,0.0016537,9.34E-05,0.0001624,0.0725465,0.0829849
201,0.0071188,0.0015658,6.57E-05,0.0001323,0.0636919,0.0725745
202,0.007944,0.0023561,7.29E-05,0.0001147,0.0643005,0.0747882
203,0.0074374,0.0014133,0.0001043,0.0001625,0.0701448,0.0792623
204,0.0078117,0.0014469,6.34E-05,0.0001249,0.0692104,0.0786573
205,0.0078911,0.0021625,6.82E-05,0.0001464,0.0738809,0.0841491
206,0.0078884,0.0017007,6.36E-05,0.0001079,0.0663457,0.0761063
207,0.0076809,0.002013,6.73E-05,0.0001071,0.0664591,0.0763274
208,0.0072797,0.0012413,5.94E-05,0.0001039,0.0628788,0.0715631
209,0.0073515,0.001421,7.27E-05,0.0001405,0.0629967,0.0719824
210,0.0096169,0.0015066,8.15E-05,0.0001591,0.0732688,0.0846329
211,0.007114,0.0014024,7.09E-05,0.0001277,0.0642581,0.0729731
212,0.0078693,0.0013751,7.44E-05,0.0001443,0.0655314,0.0749945
213,0.0071131,0.0014558,8.77E-05,0.0001045,0.0681712,0.0769323
214,0.009002,0.0018482,9.20E-05,0.0001442,0.0647758,0.0758622
215,0.007297,0.0014439,7.44E-05,0.0002209,0.0742235,0.0832597
216,0.0079734,0.0011724,5.94E-05,0.0001126,0.0687275,0.0780453
217,0.0076456,0.0016318,6.29E-05,0.0001289,0.0627726,0.0722418
218,0.0080551,0.001179,6.00E-05,0.0001115,0.0715223,0.0809279
219,0.0075934,0.0016295,6.14E-05,0.0001739,0.0658878,0.075346
220,0.0082623,0.0021498,6.34E-05,0.0001499,0.0688726,0.079498
221,0.0072639,0.0013189,7.30E-05,0.00019,0.0644373,0.0732831
222,0.0086587,0.0017271,8.97E-05,0.0001109,0.0645133,0.0750997
223,0.0069711,0.0013876,8.79E-05,0.0001319,0.0629407,0.0715192
224,0.0081172,0.0015979,8.21E-05,0.0001344,0.0651631,0.0750947
225,0.0073732,0.0015778,8.02E-05,0.0002025,0.0685446,0.0777783
226,0.0083621,0.0015082,6.10E-05,0.0001142,0.0636669,0.0737124
227,0.007665,0.0015335,7.57E-05,0.0001361,0.0792359,0.0886462
228,0.0077028,0.001459,6.07E-05,0.0001093,0.0653281,0.0746599
229,0.0073567,0.0012106,5.87E-05,0.0001224,0.0628579,0.0716063
230,0.0083151,0.0016029,6.98E-05,0.0001221,0.0607123,0.0708222
231,0.007308,0.0014413,7.39E-05,0.0001495,0.067067,0.0760397
232,0.0079739,0.0015529,8.40E-05,0.0008496,0.0740792,0.0845396
233,0.0079707,0.0015021,6.54E-05,0.0001298,0.0733625,0.0830305
234,0.0093171,0.0019623,6.44E-05,0.0001197,0.0676182,0.0790817
235,0.0070013,0.001394,7.42E-05,0.0001356,0.0697106,0.0783157
236,0.0085316,0.0014538,6.03E-05,0.0001295,0.0691401,0.0793153
237,0.0074339,0.0014364,6.39E-05,0.000207,0.0690825,0.0782237
238,0.0086617,0.0015465,9.91E-05,0.0001768,0.0753125,0.0857966
239,0.0067596,0.0015599,7.29E-05,0.000167,0.0666904,0.0752498
240,0.0075481,0.0017791,8.75E-05,0.0001183,0.0673383,0.0768713
241,0.0201797,0.0022762,9.91E-05,0.0001398,0.067968,0.0906628
242,0.0075392,0.0013565,7.84E-05,0.0001632,0.0623452,0.0714825
243,0.0080446,0.0013064,8.47E-05,0.0001247,0.0633222,0.0728826
244,0.008207,0.001429,7.25E-05,0.0001504,0.0623627,0.0722216
245,0.0032573,0.0015632,7.83E-05,0.0002849,0.0290773,0.034261
246,0.0033386,0.0016389,0.0001747,0.0001523,0.0289963,0.0343008
247,0.0033115,0.0014613,7.67E-05,0.0001356,0.0293114,0.0342965
248,0.0033138,0.0017368,0.0001155,0.0001452,0.0206221,0.0259334
249,0.0070365,0.001618,7.22E-05,0.0001701,0.0705369,0.0794337
250,0.0094951,0.0015686,6.45E-05,0.0001286,0.0838919,0.0951487
251,0.0080023,0.001782,0.0001308,0.0002143,0.0666759,0.0768053
252,0.0087928,0.0016773,6.28E-05,0.0001365,0.0759085,0.0865779
253,0.0077012,0.0014651,7.96E-05,0.0001656,0.0725909,0.0820024
254,0.00831,0.0015966,7.04E-05,0.0001608,0.0718411,0.0819789
255,0.0079038,0.0018637,8.26E-05,0.0001525,0.0748186,0.0848212
256,0.0087392,0.0015807,7.26E-05,0.0001487,0.0629841,0.0735253
257,0.0078632,0.0014819,7.37E-05,0.0001407,0.0719279,0.0814874
258,0.0089112,0.0024388,8.03E-05,0.0001468,0.0721705,0.0837476
259,0.0077433,0.0015303,0.000102,0.0001983,0.0732277,0.0828016
260,0.0085855,0.0013949,6.28E-05,0.0002123,0.0718817,0.0821372
261,0.0075714,0.001343,7.22E-05,0.0001359,0.0818257,0.0909482
262,0.0087014,0.0017589,8.42E-05,0.0001291,0.0745453,0.0852189
263,0.0047529,0.0013886,7.74E-05,0.0001113,0.0493021,0.0556323
264,0.0083024,0.0017795,0.0001058,0.000183,0.0714477,0.0818184
265,0.0083382,0.0022925,9.11E-05,0.0001311,0.07121,0.0820629
266,0.0085709,0.0014878,6.82E-05,0.0001116,0.0716903,0.0819288
267,0.0074739,0.0021004,9.49E-05,0.0001273,0.0689834,0.0787799
268,0.0078691,0.0014002,6.88E-05,0.0001275,0.065823,0.0752886
269,0.0075673,0.0016261,0.0001148,0.0001178,0.0684375,0.0778635
270,0.0079097,0.0012595,6.24E-05,0.0001047,0.0626055,0.0719418
271,0.0073106,0.001374,6.45E-05,0.0001151,0.0810047,0.0898689
272,0.008574,0.0017108,7.31E-05,0.0001063,0.0704397,0.0809039
273,0.0083469,0.00224,8.23E-05,0.0001298,0.0707628,0.0815618
274,0.0082015,0.0017695,8.10E-05,0.0001373,0.0699177,0.080107
275,0.0070772,0.0012361,7.28E-05,0.0001045,0.08087,0.0893606
276,0.0085124,0.0013046,6.38E-05,0.0001062,0.0803763,0.0903633
277,0.0068711,0.0014518,8.39E-05,0.0001278,0.0710248,0.0795594
278,0.0075386,0.0017311,9.75E-05,0.0001301,0.0708275,0.0803248
279,0.006943,0.0012072,5.98E-05,0.0001047,0.0690557,0.0773704
280,0.0084494,0.0016412,0.0001292,0.0001463,0.0826238,0.0929899
281,0.0076012,0.0015103,9.19E-05,0.0001322,0.0728232,0.0821588
282,0.0089654,0.001519,6.37E-05,0.0001057,0.0679389,0.0785927
283,0.0077973,0.0022848,7.48E-05,0.0001062,0.0792843,0.0895474
284,0.0082957,0.0027818,0.0001665,0.0001503,0.0702797,0.081674
285,0.0079351,0.0023265,7.13E-05,0.0001246,0.0683282,0.0787857
286,0.0083541,0.0019356,9.32E-05,0.0001303,0.0711468,0.08166
287,0.0074641,0.001429,8.00E-05,0.0001263,0.0744156,0.083515
288,0.0083577,0.0017091,7.42E-05,0.0001503,0.070655,0.0809463
289,0.0157819,0.0013904,6.06E-05,0.0001042,0.0630708,0.0804079
290,0.0085921,0.001725,7.33E-05,0.000128,0.0874689,0.0979873
291,0.0070751,0.0014346,8.32E-05,0.0001319,0.0727311,0.0814559
292,0.0074207,0.0012065,8.61E-05,0.0001055,0.0704953,0.0793141
293,0.006815,0.0012459,6.82E-05,0.0001054,0.0680772,0.0763117
294,0.0080598,0.0012203,6.19E-05,0.0001063,0.0692482,0.0786965
295,0.0074137,0.0014378,8.59E-05,0.0001449,0.0768378,0.0859201
296,0.0082546,0.0016098,0.0001416,0.0001925,0.0676119,0.0778104
297,0.0071331,0.0012132,5.97E-05,0.000104,0.0665775,0.0750875
298,0.0086049,0.0015982,7.29E-05,0.000127,0.0629714,0.0733744
299,0.007162,0.0014304,8.11E-05,0.0001252,0.0700761,0.0788748
300,0.0079479,0.0013534,7.91E-05,0.000125,0.0725083,0.0820137
Average,0.007684763,0.001658774,8.21E-05,0.000144255,0.066172288,0.07574218
