Image,PSNR (dB),SSIM,Entropy,Edge Preservation (EPI),Correlation Coefficient (CC),NMI,GSSIM,RMSE,MAE
Pytorch_YCrCb_HYBRID_Fusion_00087.png,14.827,0.666,6.419,0.632,0.111,11.98,0.765,10.236,83.678
Pytorch_YCrCb_HYBRID_Fusion_00088.png,14.862,0.667,6.442,0.63,0.161,11.968,0.738,10.216,81.703
Pytorch_YCrCb_HYBRID_Fusion_00089.png,18.659,0.825,6.463,0.768,0.158,11.542,0.847,9.766,122.059
Pytorch_YCrCb_HYBRID_Fusion_00090.png,18.494,0.82,6.329,0.727,0.192,11.882,0.874,9.685,149.125
Pytorch_YCrCb_HYBRID_Fusion_00091.png,18.612,0.822,6.338,0.722,0.217,11.965,0.871,9.493,150.871
Pytorch_YCrCb_HYBRID_Fusion_00092.png,18.234,0.828,6.358,0.722,0.242,11.917,0.861,9.464,143.052
Pytorch_YCrCb_HYBRID_Fusion_00093.png,17.013,0.827,6.174,0.745,-0.066,11.244,0.874,9.924,151.302
Pytorch_YCrCb_HYBRID_Fusion_00094.png,14.869,0.627,6.61,0.627,0.154,12.474,0.722,10.12,83.026
Pytorch_YCrCb_HYBRID_Fusion_00095.png,14.958,0.622,6.676,0.625,0.235,12.537,0.715,10.098,82.558
Pytorch_YCrCb_HYBRID_Fusion_00096.png,15.012,0.627,6.755,0.626,0.319,12.579,0.711,10.021,83.759
Pytorch_YCrCb_HYBRID_Fusion_00097.png,15.163,0.751,6.351,0.723,0.37,11.974,0.835,10.383,56.566
Pytorch_YCrCb_HYBRID_Fusion_00098.png,15.129,0.746,6.379,0.713,0.375,11.996,0.84,10.355,56.23
Pytorch_YCrCb_HYBRID_Fusion_00099.png,15.191,0.761,6.312,0.72,0.374,12.015,0.866,10.444,54.973
Pytorch_YCrCb_HYBRID_Fusion_00100.png,15.277,0.766,6.257,0.725,0.337,11.958,0.864,10.378,54.988
Pytorch_YCrCb_HYBRID_Fusion_00101.png,15.376,0.743,6.231,0.703,0.237,12,0.843,10.275,59.914
Pytorch_YCrCb_HYBRID_Fusion_00102.png,15.377,0.812,6.174,0.817,0.3,11.627,0.768,10.378,55.267
Pytorch_YCrCb_HYBRID_Fusion_00103.png,15.852,0.786,6.26,0.719,0.484,12.054,0.782,10.204,69.157
Pytorch_YCrCb_HYBRID_Fusion_00104.png,15.896,0.784,6.197,0.712,0.432,12.095,0.79,10.219,68.133
Pytorch_YCrCb_HYBRID_Fusion_00105.png,17.897,0.789,6.343,0.752,0.144,11.593,0.875,9.187,106.377
Pytorch_YCrCb_HYBRID_Fusion_00106.png,17.902,0.787,6.379,0.743,0.172,11.677,0.873,9.182,109.893
Pytorch_YCrCb_HYBRID_Fusion_00107.png,20.797,0.801,6.572,0.762,0.463,11.753,0.847,8.816,120.708
Pytorch_YCrCb_HYBRID_Fusion_00108.png,16.114,0.797,6.221,0.765,0.063,11.062,0.89,9.38,87.387
Pytorch_YCrCb_HYBRID_Fusion_00109.png,15.799,0.782,6.236,0.741,0.057,10.989,0.864,9.468,83.031
Pytorch_YCrCb_HYBRID_Fusion_00110.png,21.738,0.823,6.577,0.767,0.79,11.701,0.888,9.492,120.694
Pytorch_YCrCb_HYBRID_Fusion_00111.png,21.471,0.787,6.607,0.731,0.653,11.96,0.828,9.102,154.698
Pytorch_YCrCb_HYBRID_Fusion_00112.png,20.66,0.797,6.338,0.737,0.422,11.584,0.88,8.873,153.269
Pytorch_YCrCb_HYBRID_Fusion_00113.png,17.531,0.807,6.15,0.716,-0.045,10.955,0.904,10.207,139.165
Pytorch_YCrCb_HYBRID_Fusion_00114.png,16.997,0.811,6.193,0.746,-0.124,10.928,0.894,10.37,141.834
Pytorch_YCrCb_HYBRID_Fusion_00115.png,16.329,0.817,6.17,0.761,-0.284,10.739,0.934,10.374,140.453
Pytorch_YCrCb_HYBRID_Fusion_00116.png,16.408,0.825,6.241,0.767,-0.341,10.743,0.908,10.398,135.107
Pytorch_YCrCb_HYBRID_Fusion_00117.png,17.289,0.851,6.124,0.792,-0.381,10.601,0.895,10.485,130.922
Pytorch_YCrCb_HYBRID_Fusion_00118.png,16.592,0.836,6.257,0.782,-0.291,11.432,0.916,10.561,125.494
Pytorch_YCrCb_HYBRID_Fusion_00119.png,16.533,0.743,6.449,0.676,0.186,12.426,0.84,9.885,104.603
Pytorch_YCrCb_HYBRID_Fusion_00120.png,15.305,0.753,6.26,0.695,-0.018,11.837,0.858,10.055,80.63
Pytorch_YCrCb_HYBRID_Fusion_00121.png,15.081,0.765,6.287,0.705,-0.095,11.727,0.839,10.104,79.484
Pytorch_YCrCb_HYBRID_Fusion_00122.png,16.082,0.75,6.38,0.692,0.141,12.304,0.829,9.924,92.44
Pytorch_YCrCb_HYBRID_Fusion_00123.png,21.219,0.828,7.034,0.686,0.866,12.032,0.857,9.721,64.758
Pytorch_YCrCb_HYBRID_Fusion_00124.png,22.657,0.871,6.902,0.75,0.835,12.054,0.927,8.984,112.112
Pytorch_YCrCb_HYBRID_Fusion_00125.png,22.24,0.887,6.817,0.761,0.789,12.146,0.927,9.289,107.127
Pytorch_YCrCb_HYBRID_Fusion_00126.png,18.113,0.827,6.412,0.981,0.107,10.9,0.92,9.831,161.46
Pytorch_YCrCb_HYBRID_Fusion_00127.png,19.613,0.821,6.888,0.761,0.755,12.498,0.898,9.658,87.412
Pytorch_YCrCb_HYBRID_Fusion_00128.png,21.004,0.857,6.888,0.846,0.773,11.788,0.911,9.788,109.154
