Image,PSNR (dB),SSIM,Entropy,Edge Preservation (EPI),Correlation Coefficient (CC),NMI,GSSIM,RMSE,MAE
Pytorch_LAB_HYBRID_Fusion_00192.png,15.247,0.628,6.349,0.605,-0.067,12.266,0.749,9.911,83.829
Pytorch_LAB_HYBRID_Fusion_00193.png,15.264,0.629,6.337,0.606,-0.065,12.232,0.754,9.906,82.987
Pytorch_LAB_HYBRID_Fusion_00194.png,14.402,0.595,6.43,0.603,-0.06,12.209,0.733,9.789,102.765
Pytorch_LAB_HYBRID_Fusion_00195.png,14.387,0.592,6.443,0.597,-0.07,12.236,0.734,9.705,110.832
Pytorch_LAB_HYBRID_Fusion_00196.png,13.536,0.658,6.158,0.636,-0.303,11.28,0.819,10.022,101.05
Pytorch_LAB_HYBRID_Fusion_00197.png,11.972,0.631,6.647,0.667,-0.053,12.411,0.862,10.739,119.723
Pytorch_LAB_HYBRID_Fusion_00198.png,12.123,0.649,6.648,0.677,-0.031,12.402,0.875,10.586,114.727
Pytorch_LAB_HYBRID_Fusion_00199.png,12.013,0.656,6.561,0.691,0.027,12.519,0.893,10.901,110.726
Pytorch_LAB_HYBRID_Fusion_00200.png,12.002,0.657,6.582,0.719,-0.045,12.379,0.885,10.803,110.073
Pytorch_LAB_HYBRID_Fusion_00201.png,12.124,0.643,6.602,0.688,0.028,12.375,0.871,10.859,117.424
Pytorch_LAB_HYBRID_Fusion_00202.png,12.526,0.608,6.9,0.692,0.237,13.097,0.823,10.345,128.812
Pytorch_LAB_HYBRID_Fusion_00203.png,12.59,0.606,6.92,0.685,0.265,13.192,0.807,10.316,125.026
Pytorch_LAB_HYBRID_Fusion_00204.png,12.685,0.607,6.922,0.68,0.284,13.231,0.844,10.244,126.497
Pytorch_LAB_HYBRID_Fusion_00205.png,12.59,0.603,6.907,0.68,0.255,13.201,0.827,10.226,125.005
Pytorch_LAB_HYBRID_Fusion_00206.png,12,0.67,6.708,0.776,0.47,12.581,0.876,10.7,136.93
Pytorch_LAB_HYBRID_Fusion_00207.png,11.356,0.638,6.664,0.727,0.083,12.639,0.866,10.825,132.443
Pytorch_LAB_HYBRID_Fusion_00208.png,11.487,0.624,6.806,0.923,0.409,13.143,0.835,10.545,149.773
Pytorch_LAB_HYBRID_Fusion_00209.png,12.676,0.62,6.61,0.707,-0.007,12.68,0.83,10.294,130.191
Pytorch_LAB_HYBRID_Fusion_00210.png,13.063,0.635,6.798,0.629,0.169,12.03,0.828,10.607,124.545
Pytorch_LAB_HYBRID_Fusion_00211.png,13.051,0.602,6.827,0.615,0.317,12.359,0.824,10.106,121.026
Pytorch_LAB_HYBRID_Fusion_00212.png,12.764,0.629,6.915,0.673,0.371,11.99,0.818,10.779,100.663
Pytorch_LAB_HYBRID_Fusion_00213.png,12.691,0.605,6.972,0.662,0.358,12.25,0.805,10.691,111.112
Pytorch_LAB_HYBRID_Fusion_00214.png,12.054,0.642,6.691,0.651,0.201,11.613,0.86,10.554,108.005
Pytorch_LAB_HYBRID_Fusion_00215.png,12.095,0.64,6.598,0.635,-0.029,11.537,0.86,10.396,101.744
Pytorch_LAB_HYBRID_Fusion_00216.png,12.483,0.629,6.772,0.61,0.109,12.004,0.854,10.606,120.492
Pytorch_LAB_HYBRID_Fusion_00217.png,12.691,0.635,6.78,0.637,0.185,11.809,0.863,10.416,108.422
Pytorch_LAB_HYBRID_Fusion_00218.png,12.531,0.625,6.736,0.662,0.219,12.171,0.846,10.161,110.032
Pytorch_LAB_HYBRID_Fusion_00219.png,12.534,0.627,6.937,0.672,0.474,11.789,0.877,10.625,120.352
Pytorch_LAB_HYBRID_Fusion_00220.png,12.317,0.618,6.913,0.664,0.422,11.963,0.851,10.365,117.242
Pytorch_LAB_HYBRID_Fusion_00221.png,12.25,0.624,6.662,0.632,0.011,12.098,0.862,10.834,112.893
Pytorch_LAB_HYBRID_Fusion_00222.png,11.523,0.637,6.692,0.663,0.024,11.484,0.894,10.828,105.131
